Date,WeekDay,Weekend,Holiday
2016-06-16,Thursday,No,No
2016-06-17,Friday,No,No
2016-06-20,Monday,No,No
2016-06-21,Tuesday,No,No
2016-06-22,Wednesday,No,No
2016-06-23,Thursday,No,No
2016-06-24,Friday,No,No
2016-06-27,Monday,No,No
2016-06-28,Tuesday,No,No
2016-06-29,Wednesday,No,No
2016-06-30,Thursday,No,No
2016-07-01,Friday,No,No
2016-07-04,Monday,No,No
2016-07-05,Tuesday,No,No
2016-07-06,Wednesday,No,No
2016-07-07,Thursday,No,No
2016-07-08,Friday,No,No
2016-07-11,Monday,No,No
2016-07-12,Tuesday,No,No
2016-07-13,Wednesday,No,No
2016-07-14,Thursday,No,No
2016-07-15,Friday,No,No
2016-07-18,Monday,No,No
2016-07-19,Tuesday,No,No
2016-07-20,Wednesday,No,No
2016-07-21,Thursday,No,No
2016-07-22,Friday,No,No
2016-07-25,Monday,No,No
2016-07-26,Tuesday,No,No
2016-07-27,Wednesday,No,No
2016-07-28,Thursday,No,No
2016-07-29,Friday,No,No
2016-08-01,Monday,No,No
2016-08-02,Tuesday,No,No
2016-08-03,Wednesday,No,No
2016-08-04,Thursday,No,No
2016-08-05,Friday,No,No
2016-08-08,Monday,No,No
2016-08-09,Tuesday,No,No
2016-08-10,Wednesday,No,No
2016-08-11,Thursday,No,No
2016-08-12,Friday,No,No
2016-08-16,Tuesday,No,No
2016-08-17,Wednesday,No,No
2016-08-18,Thursday,No,No
2016-08-19,Friday,No,No
2016-08-22,Monday,No,No
2016-08-23,Tuesday,No,No
2016-08-24,Wednesday,No,No
2016-08-25,Thursday,No,No
2016-08-26,Friday,No,No
2016-08-29,Monday,No,No
2016-08-30,Tuesday,No,No
2016-08-31,Wednesday,No,No
2016-09-01,Thursday,No,No
2016-09-02,Friday,No,No
2016-09-05,Monday,No,No
2016-09-06,Tuesday,No,No
2016-09-07,Wednesday,No,No
2016-09-08,Thursday,No,No
2016-09-09,Friday,No,No
2016-09-12,Monday,No,No
2016-09-13,Tuesday,No,No
2016-09-14,Wednesday,No,No
2016-09-15,Thursday,No,No
2016-09-16,Friday,No,No
2016-09-19,Monday,No,No
2016-09-20,Tuesday,No,No
2016-09-21,Wednesday,No,No
2016-09-22,Thursday,No,No
2016-09-23,Friday,No,No
2016-09-26,Monday,No,No
2016-09-27,Tuesday,No,No
2016-09-28,Wednesday,No,No
2016-09-29,Thursday,No,No
2016-09-30,Friday,No,No
2016-10-03,Monday,No,No
2016-10-04,Tuesday,No,No
2016-10-05,Wednesday,No,No
2016-10-06,Thursday,No,No
2016-10-07,Friday,No,No
2016-10-10,Monday,No,No
2016-10-11,Tuesday,No,No
2016-10-12,Wednesday,No,No
2016-10-13,Thursday,No,No
2016-10-14,Friday,No,No
2016-10-17,Monday,No,No
2016-10-18,Tuesday,No,No
2016-10-19,Wednesday,No,No
2016-10-20,Thursday,No,No
2016-10-21,Friday,No,No
2016-10-24,Monday,No,No
2016-10-25,Tuesday,No,No
2016-10-26,Wednesday,No,No
2016-10-27,Thursday,No,No
2016-10-28,Friday,No,No
2016-10-30,Sunday,Yes,Yes
2016-10-31,Monday,No,No
2016-11-01,Tuesday,No,No
2016-11-02,Wednesday,No,No
2016-11-03,Thursday,No,No
2016-11-04,Friday,No,No
2016-11-07,Monday,No,No
2016-11-08,Tuesday,No,No
2016-11-09,Wednesday,No,No
2016-11-10,Thursday,No,No
2016-11-11,Friday,No,No
2016-11-14,Monday,No,No
2016-11-15,Tuesday,No,No
2016-11-16,Wednesday,No,No
2016-11-17,Thursday,No,No
2016-11-18,Friday,No,No
2016-11-21,Monday,No,No
2016-11-22,Tuesday,No,No
2016-11-23,Wednesday,No,No
2016-11-24,Thursday,No,No
2016-11-25,Friday,No,No
2016-11-28,Monday,No,No
2016-11-29,Tuesday,No,No
2016-11-30,Wednesday,No,No
2016-12-01,Thursday,No,No
2016-12-02,Friday,No,No
2016-12-05,Monday,No,No
2016-12-06,Tuesday,No,No
2016-12-07,Wednesday,No,No
2016-12-08,Thursday,No,No
2016-12-09,Friday,No,No
2016-12-12,Monday,No,No
2016-12-13,Tuesday,No,No
2016-12-14,Wednesday,No,No
2016-12-15,Thursday,No,No
2016-12-16,Friday,No,No
2016-12-19,Monday,No,No
2016-12-20,Tuesday,No,No
2016-12-21,Wednesday,No,No
2016-12-22,Thursday,No,No
2016-12-23,Friday,No,No
2016-12-26,Monday,No,No
2016-12-27,Tuesday,No,No
2016-12-28,Wednesday,No,No
2016-12-29,Thursday,No,No
2016-12-30,Friday,No,No
2017-01-02,Monday,No,No
2017-01-03,Tuesday,No,No
2017-01-04,Wednesday,No,No
2017-01-05,Thursday,No,No
2017-01-06,Friday,No,No
2017-01-09,Monday,No,No
2017-01-10,Tuesday,No,No
2017-01-11,Wednesday,No,No
2017-01-12,Thursday,No,No
2017-01-13,Friday,No,No
2017-01-16,Monday,No,No
2017-01-17,Tuesday,No,No
2017-01-18,Wednesday,No,No
2017-01-19,Thursday,No,No
2017-01-20,Friday,No,No
2017-01-23,Monday,No,No
2017-01-24,Tuesday,No,No
2017-01-25,Wednesday,No,No
2017-01-27,Friday,No,No
2017-01-30,Monday,No,No
2017-01-31,Tuesday,No,No
2017-02-01,Wednesday,No,No
2017-02-02,Thursday,No,No
2017-02-03,Friday,No,No
2017-02-06,Monday,No,No
2017-02-07,Tuesday,No,No
2017-02-08,Wednesday,No,No
2017-02-09,Thursday,No,No
2017-02-10,Friday,No,No
2017-02-13,Monday,No,No
2017-02-14,Tuesday,No,No
2017-02-15,Wednesday,No,No
2017-02-16,Thursday,No,No
2017-02-17,Friday,No,No
2017-02-20,Monday,No,No
2017-02-21,Tuesday,No,No
2017-02-22,Wednesday,No,No
2017-02-23,Thursday,No,No
2017-02-24,Friday,No,No
2017-02-27,Monday,No,No
2017-02-28,Tuesday,No,No
2017-03-01,Wednesday,No,No
2017-03-02,Thursday,No,No
2017-03-03,Friday,No,No
2017-03-06,Monday,No,No
2017-03-07,Tuesday,No,No
2017-03-08,Wednesday,No,No
2017-03-09,Thursday,No,No
2017-03-10,Friday,No,No
2017-03-13,Monday,No,Yes
2017-03-14,Tuesday,No,No
2017-03-15,Wednesday,No,No
2017-03-16,Thursday,No,No
2017-03-17,Friday,No,No
2017-03-20,Monday,No,No
2017-03-21,Tuesday,No,No
2017-03-22,Wednesday,No,No
2017-03-23,Thursday,No,No
2017-03-24,Friday,No,No
2017-03-27,Monday,No,No
2017-03-28,Tuesday,No,No
2017-03-29,Wednesday,No,No
2017-03-30,Thursday,No,No
2017-03-31,Friday,No,No
2017-04-03,Monday,No,No
2017-04-04,Tuesday,No,No
2017-04-05,Wednesday,No,No
2017-04-06,Thursday,No,No
2017-04-07,Friday,No,No
2017-04-10,Monday,No,No
2017-04-11,Tuesday,No,No
2017-04-12,Wednesday,No,No
2017-04-13,Thursday,No,No
2017-04-17,Monday,No,No
2017-04-18,Tuesday,No,No
2017-04-19,Wednesday,No,No
