datetime,humidity,pressure,temperature,wind_direction,wind_speed
2014-01-02 18-00,25.0,1040.0,274.8905,13,0
2014-01-02 19-00,25.0,1040.0,273.1533333,10,0
2014-01-02 20-00,23.0,1040.0,272.4206667,10,0
2014-01-02 21-00,16.0,1040.0,272.228,12,0
2014-01-02 22-00,16.0,1040.0,271.3153333,11,0
2014-01-02 23-00,18.0,1040.0,270.9426667,12,1
2014-02-02 00-00,15.0,1040.0,270.842,14,1
2014-02-02 01-00,15.0,1040.0,270.3786667,15,1
2014-02-02 02-00,15.0,1040.0,270.1873333,17,1
2014-02-02 03-00,15.0,1040.0,276.969,17,1
2014-02-02 04-00,17.0,1040.0,274.4533333,19,1
2014-02-02 05-00,36.0,1038.0,278.9106667,20,1
2014-02-02 06-00,35.0,1039.0,280.458,17,1
2014-02-02 07-00,35.0,1037.0,285.8853333,19,1
2014-02-02 08-00,36.0,1038.0,288.4026667,17,1
2014-02-02 09-00,36.0,1036.0,286.752,14,1
2014-02-02 10-00,24.0,1036.0,290.6586667,12,1
2014-02-02 11-00,24.0,1036.0,290.3973333,10,1
2014-02-02 12-00,38.0,1035.0,286.118,12,1
2014-02-02 13-00,38.0,1036.0,287.196,8,0
2014-02-02 14-00,32.0,1036.0,284.256,9,0
2014-02-02 15-00,32.0,1036.0,283.109,11,0
2014-02-02 16-00,31.0,1036.0,279.5713333,11,0
2014-02-02 17-00,54.0,1036.0,277.8266667,12,0
2014-02-02 18-00,51.0,1037.0,277.527,12,0
2014-02-02 19-00,44.0,1037.0,275.3006667,14,0
2014-02-02 20-00,44.0,1037.0,274.5193333,14,0
2014-02-02 21-00,51.0,1037.0,274.34,16,0
2014-02-02 22-00,51.0,1037.0,273.358,15,0
2014-02-02 23-00,51.0,1037.0,272.978,16,0
2014-03-02 00-00,54.0,1037.0,272.811,16,0
2014-03-02 01-00,58.0,1037.0,272.36,18,0
2014-03-02 02-00,62.0,1037.0,272.122,18,0
2014-03-02 03-00,81.0,1038.0,280.0355,22,1
2014-03-02 04-00,81.0,1037.0,277.0803333,21,1
2014-03-02 05-00,87.0,1036.0,282.2766667,24,1
2014-03-02 06-00,71.0,1036.0,283.921,17,1
2014-03-02 07-00,66.0,1035.0,290.3013333,23,1
2014-03-02 08-00,62.0,1035.0,293.1296667,19,1
2014-03-02 09-00,62.0,1034.0,290.982,21,1
2014-03-02 10-00,62.0,1033.0,295.469,15,1
2014-03-02 11-00,71.0,1034.0,294.98,15,1
2014-03-02 12-00,71.0,1033.0,289.5475,13,1
2014-03-02 13-00,81.0,1033.0,290.7063333,14,1
2014-03-02 14-00,81.0,1034.0,286.9216667,13,1
2014-03-02 15-00,75.0,1034.0,286.6155,10,0
2014-03-02 16-00,66.0,1035.0,281.6713333,9,1
2014-03-02 17-00,58.0,1034.0,280.2056667,7,1
2014-03-02 18-00,50.0,1035.0,279.2135,13,1
2014-03-02 19-00,47.0,1035.0,277.59,8,0
2014-03-02 20-00,45.0,1035.0,276.44,11,0
2014-03-02 21-00,48.0,1034.0,276.2735,10,0
2014-03-02 22-00,51.0,1034.0,274.7956667,15,0
2014-03-02 23-00,48.0,1034.0,274.3013333,15,0
2014-04-02 00-00,51.0,1034.0,274.108,14,0
2014-04-02 01-00,58.0,1034.0,273.5133333,14,0
2014-04-02 02-00,62.0,1035.0,273.2196667,14,0
2014-04-02 03-00,62.0,1035.0,281.1425,19,1
2014-04-02 04-00,58.0,1035.0,278.11,16,1
2014-04-02 05-00,46.0,1033.0,283.294,19,1
2014-04-02 06-00,66.0,1034.0,284.785,16,1
2014-04-02 07-00,71.0,1033.0,291.2,22,1
2014-04-02 08-00,71.0,1033.0,293.922,21,1
2014-04-02 09-00,71.0,1032.0,292.156,168,0
2014-04-02 10-00,76.0,1031.0,296.374,118,1
2014-04-02 11-00,70.0,1032.0,296.104,216,0
2014-04-02 12-00,66.0,1031.0,290.495,14,1
2014-04-02 13-00,66.0,1031.0,292.0046667,212,0
2014-04-02 14-00,66.0,1032.0,288.1753333,110,0
2014-04-02 15-00,61.0,1032.0,288.654,174,0
2014-04-02 16-00,61.0,1032.0,283.3886667,16,0
2014-04-02 17-00,58.0,1031.0,282.4313333,25,1
2014-04-02 18-00,50.0,1032.0,283.4555,18,1
2014-04-02 19-00,54.0,1032.0,281.8376667,32,1
2014-04-02 20-00,51.0,1032.0,282.2013333,31,1
2014-04-02 21-00,48.0,1031.0,282.647,33,1
2014-04-02 22-00,55.0,1031.0,282.9833333,30,2
2014-04-02 23-00,55.0,1031.0,283.4016667,31,2
2014-05-02 00-00,55.0,1031.0,282.569,35,2
2014-05-02 01-00,58.0,1031.0,283.4043333,35,2
2014-05-02 02-00,62.0,1031.0,282.9886667,38,2
2014-05-02 03-00,66.0,1031.0,287.5895,36,1
2014-05-02 04-00,71.0,1031.0,285.5016667,41,1
2014-05-02 05-00,66.0,1030.0,288.4303333,41,1
2014-05-02 06-00,66.0,1031.0,289.4035,146,1
2014-05-02 07-00,71.0,1029.0,292.984,111,1
2014-05-02 08-00,66.0,1030.0,294.609,181,1
2014-05-02 09-00,66.0,1028.0,293.014,137,1
2014-05-02 10-00,71.0,1028.0,295.7123333,245,1
2014-05-02 11-00,71.0,1029.0,295.1906667,239,1
2014-05-02 12-00,81.0,1028.0,291.2685,225,0
2014-05-02 13-00,81.0,1029.0,291.8803333,221,1
2014-05-02 14-00,87.0,1029.0,289.0916667,209,0
2014-05-02 15-00,87.0,1029.0,289.56,140,0
2014-05-02 16-00,71.0,1029.0,285.6856667,148,0
2014-05-02 17-00,62.0,1029.0,285.0683333,98,0
2014-05-02 18-00,58.0,1029.0,284.784,117,0
2014-05-02 19-00,44.0,1029.0,284.0556667,44,0
2014-05-02 20-00,39.0,1029.0,283.6603333,40,0
2014-05-02 21-00,31.0,1029.0,283.9745,59,0
2014-05-02 22-00,48.0,1028.0,283.3426667,48,0
2014-05-02 23-00,44.0,1029.0,283.4203333,59,0
2014-06-02 00-00,55.0,1029.0,283.301,78,0
2014-06-02 01-00,62.0,1029.0,283.4443333,86,0
2014-06-02 02-00,66.0,1030.0,283.3906667,103,0
2014-06-02 03-00,71.0,1030.0,286.1495,62,0
2014-06-02 04-00,71.0,1030.0,285.1583333,98,0
2014-06-02 05-00,66.0,1029.0,286.9796667,76,0
2014-06-02 06-00,71.0,1030.0,287.3565,119,0
2014-06-02 07-00,66.0,1029.0,289.6593333,75,1
2014-06-02 08-00,66.0,1030.0,290.5176667,97,1
2014-06-02 09-00,66.0,1028.0,289.8385,102,1
2014-06-02 10-00,71.0,1028.0,291.2093333,129,1
2014-06-02 11-00,71.0,1029.0,291.0426667,139,1
2014-06-02 12-00,71.0,1029.0,287.36,156,1
2014-06-02 13-00,71.0,1029.0,288.3653333,165,1
2014-06-02 14-00,71.0,1029.0,285.8546667,180,1
2014-06-02 15-00,71.0,1029.0,285.0325,98,1
2014-06-02 16-00,76.0,1030.0,281.959,145,0
2014-06-02 17-00,66.0,1029.0,280.574,96,0
2014-06-02 18-00,67.0,1030.0,280.5305,148,0
2014-06-02 19-00,67.0,1029.0,278.6983333,65,0
2014-06-02 20-00,62.0,1029.0,278.2076667,83,0
2014-06-02 21-00,62.0,1029.0,278.806,54,1
2014-06-02 22-00,71.0,1029.0,277.9523333,88,1
2014-06-02 23-00,67.0,1030.0,278.1876667,75,1
2014-07-02 00-00,82.0,1029.0,277.7395,94,1
2014-07-02 01-00,76.0,1030.0,278.2026667,70,1
2014-07-02 02-00,87.0,1030.0,277.9823333,78,1
2014-07-02 03-00,87.0,1030.0,282.864,80,1
2014-07-02 04-00,87.0,1030.0,280.943,90,1
2014-07-02 05-00,87.0,1029.0,284.124,94,1
2014-07-02 06-00,87.0,1030.0,284.547,138,1
2014-07-02 07-00,87.0,1029.0,288.6473333,129,1
2014-07-02 08-00,87.0,1029.0,289.9896667,160,1
2014-07-02 09-00,93.0,1028.0,288.7255,140,1
2014-07-02 10-00,87.0,1028.0,290.9366667,188,1
2014-07-02 11-00,87.0,1028.0,290.5413333,184,1
2014-07-02 12-00,87.0,1028.0,287.7495,122,1
2014-07-02 13-00,87.0,1028.0,288.153,138,1
2014-07-02 14-00,87.0,1028.0,286.16,96,1
2014-07-02 15-00,87.0,1029.0,287.1175,119,1
2014-07-02 16-00,87.0,1029.0,284.141,55,1
2014-07-02 17-00,76.0,1029.0,284.115,56,1
2014-07-02 18-00,67.0,1029.0,284.109,63,1
2014-07-02 19-00,63.0,1029.0,284.0763333,62,1
2014-07-02 20-00,62.0,1029.0,284.0636667,67,1
2014-07-02 21-00,59.0,1029.0,283.8275,51,1
2014-07-02 22-00,59.0,1029.0,283.8893333,63,1
2014-07-02 23-00,63.0,1030.0,283.7276667,53,1
2014-08-02 00-00,63.0,1030.0,283.78,42,1
2014-08-02 01-00,67.0,1030.0,283.547,33,1
2014-08-02 02-00,67.0,1031.0,283.528,23,1
2014-08-02 03-00,76.0,1031.0,284.2115,33,1
2014-08-02 04-00,81.0,1031.0,283.9583333,16,1
2014-08-02 05-00,76.0,1030.0,284.4076667,19,1
2014-08-02 06-00,81.0,1031.0,285.233,13,1
2014-08-02 07-00,81.0,1031.0,285.557,20,1
2014-08-02 08-00,76.0,1031.0,286.257,16,1
2014-08-02 09-00,76.0,1030.0,285.5135,12,1
2014-08-02 10-00,76.0,1030.0,286.6946667,9,1
2014-08-02 11-00,76.0,1031.0,286.4323333,4,1
2014-08-02 12-00,76.0,1031.0,284.9395,175,1
2014-08-02 13-00,81.0,1031.0,285.0873333,112,0
2014-08-02 14-00,76.0,1032.0,284.0046667,224,0
2014-08-02 15-00,76.0,1032.0,282.959,5,1
2014-08-02 16-00,76.0,1033.0,281.864,227,0
2014-08-02 17-00,67.0,1033.0,280.806,119,0
2014-08-02 18-00,59.0,1033.0,280.4935,175,0
2014-08-02 19-00,55.0,1034.0,279.187,11,0
