Date,OriginCityName,CRSDepTime,DepTime,DepDelay
2014-11-21,Los Angeles,900,856.0,-4.0
2014-11-22,Los Angeles,900,931.0,31.0
2014-11-23,Los Angeles,900,852.0,-8.0
2014-11-24,Los Angeles,900,849.0,-11.0
2014-11-25,Los Angeles,900,857.0,-3.0
2014-11-26,Los Angeles,900,855.0,-5.0
2014-11-27,Los Angeles,900,854.0,-6.0
2014-11-28,Los Angeles,900,851.0,-9.0
2014-11-29,Los Angeles,900,852.0,-8.0
2014-11-30,Los Angeles,900,855.0,-5.0
2014-12-01,Los Angeles,900,855.0,-5.0
2014-12-02,Los Angeles,900,927.0,27.0
2014-12-03,Los Angeles,900,854.0,-6.0
2014-12-04,Los Angeles,900,856.0,-4.0
2014-12-05,Los Angeles,900,850.0,-10.0
2014-12-06,Los Angeles,900,853.0,-7.0
2014-12-07,Los Angeles,900,851.0,-9.0
2014-12-08,Los Angeles,900,900.0,0.0
2014-12-09,Los Angeles,900,924.0,24.0
2014-12-10,Los Angeles,900,856.0,-4.0
2014-12-11,Los Angeles,900,1534.0,394.0
2014-12-12,Los Angeles,900,854.0,-6.0
2014-12-13,Los Angeles,900,854.0,-6.0
2014-12-14,Los Angeles,900,856.0,-4.0
2014-12-15,Los Angeles,900,911.0,11.0
2014-12-16,Los Angeles,900,855.0,-5.0
2014-12-17,Los Angeles,900,855.0,-5.0
2014-12-18,Los Angeles,900,854.0,-6.0
2014-12-19,Los Angeles,900,900.0,0.0
2014-12-20,Los Angeles,900,855.0,-5.0
2014-12-21,Los Angeles,900,858.0,-2.0
2014-12-22,Los Angeles,900,924.0,24.0
2014-12-23,Los Angeles,900,856.0,-4.0
2014-12-26,Los Angeles,900,918.0,18.0
2014-12-27,Los Angeles,900,1145.0,165.0
2014-12-28,Los Angeles,900,913.0,13.0
2014-12-29,Los Angeles,900,906.0,6.0
2014-12-30,Los Angeles,900,901.0,1.0
2015-01-01,Los Angeles,900,856.0,-4.0
2015-01-02,Los Angeles,900,854.0,-6.0
2015-01-03,Los Angeles,900,922.0,22.0
2015-01-04,Los Angeles,900,1141.0,161.0
2015-01-05,Los Angeles,900,852.0,-8.0
2015-01-06,Los Angeles,900,858.0,-2.0
2015-01-07,Los Angeles,900,850.0,-10.0
2015-01-08,Los Angeles,900,853.0,-7.0
2015-01-09,Los Angeles,900,852.0,-8.0
2015-01-10,Los Angeles,900,858.0,-2.0
2015-01-11,Los Angeles,900,853.0,-7.0
2015-01-12,Los Angeles,900,900.0,0.0
2015-01-13,Los Angeles,900,857.0,-3.0
2015-01-14,Los Angeles,900,854.0,-6.0
2015-01-15,Los Angeles,900,857.0,-3.0
2015-01-16,Los Angeles,900,853.0,-7.0
2015-01-17,Los Angeles,900,854.0,-6.0
2015-01-18,Los Angeles,900,856.0,-4.0
2015-01-19,Los Angeles,900,856.0,-4.0
2015-01-20,Los Angeles,900,857.0,-3.0
2015-01-21,Los Angeles,900,852.0,-8.0
2015-01-22,Los Angeles,900,855.0,-5.0
2015-01-23,Los Angeles,900,852.0,-8.0
2015-01-24,Los Angeles,900,851.0,-9.0
2015-01-25,Los Angeles,900,856.0,-4.0
2015-01-26,Los Angeles,900,,
2015-01-27,Los Angeles,900,,
2015-01-28,Los Angeles,900,940.0,40.0
2015-01-29,Los Angeles,900,854.0,-6.0
2015-01-30,Los Angeles,900,853.0,-7.0
2015-01-31,Los Angeles,900,854.0,-6.0
2015-02-01,Los Angeles,900,857.0,-3.0
2015-02-02,Los Angeles,900,858.0,-2.0
2015-02-03,Los Angeles,900,858.0,-2.0
2015-02-04,Los Angeles,900,855.0,-5.0
2015-02-05,Los Angeles,900,903.0,3.0
2015-02-06,Los Angeles,900,853.0,-7.0
2015-02-07,Los Angeles,900,858.0,-2.0
2015-02-08,Los Angeles,900,857.0,-3.0
2015-02-09,Los Angeles,900,,
2015-02-10,Los Angeles,900,900.0,0.0
2015-02-11,Los Angeles,900,856.0,-4.0
2015-02-12,Los Angeles,900,901.0,1.0
2015-02-13,Los Angeles,900,902.0,2.0
2015-02-14,Los Angeles,900,920.0,20.0
2015-02-15,Los Angeles,900,857.0,-3.0
2015-02-16,Los Angeles,900,858.0,-2.0
2015-02-17,Los Angeles,900,853.0,-7.0
2015-02-18,Los Angeles,900,857.0,-3.0
2015-02-19,Los Angeles,900,854.0,-6.0
2015-02-20,Los Angeles,900,855.0,-5.0
2015-02-21,Los Angeles,900,855.0,-5.0
2015-02-22,Los Angeles,900,855.0,-5.0
2015-02-23,Los Angeles,900,956.0,56.0
2015-02-24,Los Angeles,900,851.0,-9.0
2015-02-25,Los Angeles,900,1445.0,345.0
2015-02-26,Los Angeles,900,852.0,-8.0
2015-02-27,Los Angeles,900,855.0,-5.0
2015-02-28,Los Angeles,900,859.0,-1.0
2015-03-01,Los Angeles,900,857.0,-3.0
2015-03-02,Los Angeles,900,946.0,46.0
2015-03-03,Los Angeles,900,853.0,-7.0
2015-03-04,Los Angeles,900,912.0,12.0
2015-03-05,Los Angeles,900,957.0,57.0
2015-03-06,Los Angeles,900,945.0,45.0
2015-03-07,Los Angeles,900,851.0,-9.0
2015-03-08,Los Angeles,900,924.0,24.0
2015-03-09,Los Angeles,900,853.0,-7.0
2015-03-10,Los Angeles,900,857.0,-3.0
2015-03-11,Los Angeles,900,851.0,-9.0
2015-03-12,Los Angeles,900,854.0,-6.0
2015-03-13,Los Angeles,900,916.0,16.0
2015-03-14,Los Angeles,900,856.0,-4.0
2015-03-15,Los Angeles,900,1017.0,77.0
2015-03-16,Los Angeles,900,924.0,24.0
2015-03-17,Los Angeles,900,909.0,9.0
2015-03-18,Los Angeles,900,1230.0,210.0
2015-03-19,Los Angeles,900,923.0,23.0
2015-03-20,Los Angeles,900,852.0,-8.0
2015-03-21,Los Angeles,900,910.0,10.0
2015-03-22,Los Angeles,900,927.0,27.0
2015-03-23,Los Angeles,900,911.0,11.0
2015-03-24,Los Angeles,900,907.0,7.0
2015-03-25,Los Angeles,900,855.0,-5.0
2015-03-26,Los Angeles,900,900.0,0.0
2015-03-27,Los Angeles,900,900.0,0.0
2015-03-28,Los Angeles,900,906.0,6.0
2015-03-29,Los Angeles,900,948.0,48.0
2015-03-30,Los Angeles,900,852.0,-8.0
2015-03-31,Los Angeles,900,905.0,5.0
2015-04-01,Los Angeles,900,855.0,-5.0
2015-04-02,Los Angeles,900,852.0,-8.0
2015-04-03,Los Angeles,900,854.0,-6.0
2015-04-04,Los Angeles,900,1500.0,360.0
2015-04-05,Los Angeles,900,854.0,-6.0
2015-04-06,Los Angeles,900,859.0,-1.0
2015-04-07,Los Angeles,900,855.0,-5.0
2015-04-08,Los Angeles,900,850.0,-10.0
