FlightDate,OriginCityName,CRSDepTime,DepTime,DepDelay
16-03-2015,Los Angeles,900,924,24
17-03-2015,Los Angeles,900,909,9
18-03-2015,Los Angeles,900,1230,210
19-03-2015,Los Angeles,900,923,23
20-03-2015,Los Angeles,900,852,-8
21-03-2015,Los Angeles,900,910,10
22-03-2015,Los Angeles,900,927,27
23-03-2015,Los Angeles,900,911,11
24-03-2015,Los Angeles,900,907,7
25-03-2015,Los Angeles,900,855,-5
26-03-2015,Los Angeles,900,900,0
27-03-2015,Los Angeles,900,900,0
28-03-2015,Los Angeles,900,906,6
29-03-2015,Los Angeles,900,948,48
30-03-2015,Los Angeles,900,852,-8
31-03-2015,Los Angeles,900,905,5
01-04-2015,Los Angeles,900,855,-5
02-04-2015,Los Angeles,900,852,-8
03-04-2015,Los Angeles,900,854,-6
04-04-2015,Los Angeles,900,1500,360
05-04-2015,Los Angeles,900,854,-6
06-04-2015,Los Angeles,900,859,-1
07-04-2015,Los Angeles,900,855,-5
08-04-2015,Los Angeles,900,850,-10
09-04-2015,Los Angeles,900,854,-6
10-04-2015,Los Angeles,900,853,-7
11-04-2015,Los Angeles,900,856,-4
12-04-2015,Los Angeles,900,857,-3
13-04-2015,Los Angeles,900,853,-7
14-04-2015,Los Angeles,900,856,-4
15-04-2015,Los Angeles,900,855,-5
16-04-2015,Los Angeles,900,852,-8
17-04-2015,Los Angeles,900,858,-2
18-04-2015,Los Angeles,900,859,-1
19-04-2015,Los Angeles,900,854,-6
20-04-2015,Los Angeles,900,920,20
21-04-2015,Los Angeles,900,1003,63
22-04-2015,Los Angeles,900,855,-5
23-04-2015,Los Angeles,900,852,-8
24-04-2015,Los Angeles,900,849,-11
25-04-2015,Los Angeles,900,857,-3
26-04-2015,Los Angeles,900,852,-8
27-04-2015,Los Angeles,900,901,1
28-04-2015,Los Angeles,900,855,-5
29-04-2015,Los Angeles,900,855,-5
30-04-2015,Los Angeles,900,851,-9
01-05-2015,Los Angeles,900,856,-4
02-05-2015,Los Angeles,900,854,-6
03-05-2015,Los Angeles,900,858,-2
04-05-2015,Los Angeles,900,850,-10
05-05-2015,Los Angeles,900,854,-6
06-05-2015,Los Angeles,900,856,-4
07-05-2015,Los Angeles,900,911,11
08-05-2015,Los Angeles,900,855,-5
09-05-2015,Los Angeles,900,918,18
10-05-2015,Los Angeles,900,857,-3
11-05-2015,Los Angeles,900,855,-5
12-05-2015,Los Angeles,900,1013,73
13-05-2015,Los Angeles,900,906,6
14-05-2015,Los Angeles,900,859,-1
15-05-2015,Los Angeles,900,858,-2
16-05-2015,Los Angeles,900,858,-2
17-05-2015,Los Angeles,900,852,-8
18-05-2015,Los Angeles,900,1041,101
19-05-2015,Los Angeles,900,1101,121
20-05-2015,Los Angeles,900,855,-5
21-05-2015,Los Angeles,900,853,-7
22-05-2015,Los Angeles,900,855,-5
23-05-2015,Los Angeles,900,858,-2
25-05-2015,Los Angeles,900,856,-4
26-05-2015,Los Angeles,900,903,3
27-05-2015,Los Angeles,900,907,7
28-05-2015,Los Angeles,900,852,-8
29-05-2015,Los Angeles,900,853,-7
30-05-2015,Los Angeles,900,852,-8
31-05-2015,Los Angeles,900,1242,222
01-06-2015,Los Angeles,900,957,57
02-06-2015,Los Angeles,900,858,-2
03-06-2015,Los Angeles,900,853,-7
04-06-2015,Los Angeles,900,907,7
05-06-2015,Los Angeles,900,856,-4
06-06-2015,Los Angeles,900,854,-6
07-06-2015,Los Angeles,900,855,-5
08-06-2015,Los Angeles,900,909,9
09-06-2015,Los Angeles,900,857,-3
10-06-2015,Los Angeles,900,854,-6
11-06-2015,Los Angeles,900,853,-7
12-06-2015,Los Angeles,900,859,-1
13-06-2015,Los Angeles,900,854,-6
14-06-2015,Los Angeles,900,855,-5
15-06-2015,Los Angeles,900,904,4
16-06-2015,Los Angeles,900,858,-2
17-06-2015,Los Angeles,900,900,0
18-06-2015,Los Angeles,900,858,-2
19-06-2015,Los Angeles,900,856,-4
20-06-2015,Los Angeles,900,1258,238
21-06-2015,Los Angeles,900,852,-8
22-06-2015,Los Angeles,900,859,-1
23-06-2015,Los Angeles,900,1139,159
24-06-2015,Los Angeles,900,855,-5
25-06-2015,Los Angeles,900,858,-2
26-06-2015,Los Angeles,900,857,-3
27-06-2015,Los Angeles,900,937,37
28-06-2015,Los Angeles,900,855,-5
29-06-2015,Los Angeles,900,901,1
30-06-2015,Los Angeles,900,902,2
01-07-2015,Los Angeles,900,853,-7
03-07-2015,Los Angeles,900,855,-5
05-07-2015,Los Angeles,900,857,-3
06-07-2015,Los Angeles,900,859,-1
07-07-2015,Los Angeles,900,859,-1
08-07-2015,Los Angeles,900,858,-2
09-07-2015,Los Angeles,900,904,4
10-07-2015,Los Angeles,900,854,-6
11-07-2015,Los Angeles,900,855,-5
12-07-2015,Los Angeles,900,900,0
13-07-2015,Los Angeles,900,900,0
14-07-2015,Los Angeles,900,910,10
15-07-2015,Los Angeles,900,901,1
16-07-2015,Los Angeles,900,1146,166
17-07-2015,Los Angeles,900,900,0
18-07-2015,Los Angeles,900,909,9
19-07-2015,Los Angeles,900,856,-4
20-07-2015,Los Angeles,900,852,-8
21-07-2015,Los Angeles,900,857,-3
22-07-2015,Los Angeles,900,944,44
23-07-2015,Los Angeles,900,857,-3
24-07-2015,Los Angeles,900,854,-6
25-07-2015,Los Angeles,900,854,-6
26-07-2015,Los Angeles,900,1025,85
27-07-2015,Los Angeles,900,858,-2
28-07-2015,Los Angeles,900,855,-5
29-07-2015,Los Angeles,900,857,-3
30-07-2015,Los Angeles,900,1100,120
31-07-2015,Los Angeles,900,855,-5
01-08-2015,Los Angeles,900,854,-6
02-08-2015,Los Angeles,900,859,-1
03-08-2015,Los Angeles,900,855,-5
04-08-2015,Los Angeles,900,853,-7
05-08-2015,Los Angeles,900,853,-7
06-08-2015,Los Angeles,900,855,-5
07-08-2015,Los Angeles,900,901,1
08-08-2015,Los Angeles,900,905,5
09-08-2015,Los Angeles,900,1146,166
10-08-2015,Los Angeles,900,854,-6
11-08-2015,Los Angeles,900,858,-2
12-08-2015,Los Angeles,900,852,-8
13-08-2015,Los Angeles,900,853,-7
14-08-2015,Los Angeles,900,859,-1
15-08-2015,Los Angeles,900,854,-6
16-08-2015,Los Angeles,900,855,-5
17-08-2015,Los Angeles,900,859,-1
18-08-2015,Los Angeles,900,855,-5
19-08-2015,Los Angeles,900,857,-3
20-08-2015,Los Angeles,900,952,52
21-08-2015,Los Angeles,900,857,-3
22-08-2015,Los Angeles,900,856,-4
23-08-2015,Los Angeles,900,855,-5
24-08-2015,Los Angeles,900,855,-5
25-08-2015,Los Angeles,900,853,-7
26-08-2015,Los Angeles,900,854,-6
27-08-2015,Los Angeles,900,855,-5
28-08-2015,Los Angeles,900,900,0
29-08-2015,Los Angeles,900,856,-4
30-08-2015,Los Angeles,900,855,-5
31-08-2015,Los Angeles,900,913,13
01-09-2015,Los Angeles,900,854,-6
02-09-2015,Los Angeles,900,1027,87
03-09-2015,Los Angeles,900,903,3
04-09-2015,Los Angeles,900,856,-4
05-09-2015,Los Angeles,900,857,-3
07-09-2015,Los Angeles,900,857,-3
08-09-2015,Los Angeles,900,857,-3
09-09-2015,Los Angeles,900,859,-1
10-09-2015,Los Angeles,900,855,-5
11-09-2015,Los Angeles,900,859,-1
12-09-2015,Los Angeles,900,926,26
13-09-2015,Los Angeles,900,859,-1
14-09-2015,Los Angeles,900,854,-6
15-09-2015,Los Angeles,900,858,-2
16-09-2015,Los Angeles,900,853,-7
17-09-2015,Los Angeles,900,856,-4
18-09-2015,Los Angeles,900,857,-3
19-09-2015,Los Angeles,900,854,-6
20-09-2015,Los Angeles,900,958,58
21-09-2015,Los Angeles,900,854,-6
22-09-2015,Los Angeles,900,853,-7
23-09-2015,Los Angeles,900,904,4
24-09-2015,Los Angeles,900,854,-6
25-09-2015,Los Angeles,900,854,-6
26-09-2015,Los Angeles,900,854,-6
27-09-2015,Los Angeles,900,851,-9
28-09-2015,Los Angeles,900,855,-5
29-09-2015,Los Angeles,900,858,-2
30-09-2015,Los Angeles,900,857,-3
01-10-2015,Los Angeles,900,857,-3
02-10-2015,Los Angeles,900,855,-5
03-10-2015,Los Angeles,900,854,-6
04-10-2015,Los Angeles,900,855,-5
05-10-2015,Los Angeles,900,853,-7
06-10-2015,Los Angeles,900,851,-9
07-10-2015,Los Angeles,900,901,1
08-10-2015,Los Angeles,900,854,-6
09-10-2015,Los Angeles,900,857,-3
10-10-2015,Los Angeles,900,857,-3
11-10-2015,Los Angeles,900,858,-2
12-10-2015,Los Angeles,900,851,-9
13-10-2015,Los Angeles,900,907,7
14-10-2015,Los Angeles,900,857,-3
15-10-2015,Los Angeles,900,859,-1
16-10-2015,Los Angeles,900,855,-5
17-10-2015,Los Angeles,900,900,0
18-10-2015,Los Angeles,900,905,5
19-10-2015,Los Angeles,900,857,-3
20-10-2015,Los Angeles,900,901,1
21-10-2015,Los Angeles,900,916,16
